species,moseq_cluster,log2_enrichment_vs_arm_expected,standardized_residual,q_value,soft_frames,expected_soft_frames,moseq_label,aligned_arm,omnibus_chi2,omnibus_p_value,omnibus_dof
Mus_caroli,0,-0.3302715886511396,-31.223233669837576,7.1252692660968475e-214,18521.090032093864,23285.64101154742,head_low,2,5998318.107997304,0.0,357
Mus_caroli,1,1.0226350987137063,163.6942672434414,0.0,51152.38850997453,25178.049216377345,head_down,2,5998318.107997304,0.0,357
Mus_caroli,2,-1.3196712985516204,-89.22504287341735,0.0,8878.045872323317,22160.422181767433,sniff_floor,2,5998318.107997304,0.0,357
Mus_caroli,3,-1.0685966690173356,-70.46986490808797,0.0,8648.93797478145,18140.215133009984,step_to_stop,2,5998318.107997304,0.0,357
Mus_caroli,4,0.3852226380120445,38.819907902418485,0.0,21011.43262091643,16087.630981055956,turn_left,2,5998318.107997304,0.0,357
Mus_caroli,5,1.0477009726857576,110.25807986986615,0.0,22064.384469461987,10673.390456149464,enter_rear,2,5998318.107997304,0.0,357
Mus_caroli,6,0.4536957010002908,43.21714170813013,0.0,18730.768528001183,13676.64524594809,turn_right,2,5998318.107997304,0.0,357
Mus_caroli,7,-1.0145243098010974,-46.36153827318777,0.0,4171.728824330107,8427.879523193029,extend_rear,2,5998318.107997304,0.0,357
Mus_caroli,8,0.9515752132959608,73.30627990766412,0.0,11913.98301168132,6160.334494376431,extend_rear_2,2,5998318.107997304,0.0,357
Mus_caroli,9,-0.3750320576439545,-29.496801373933437,4.2736717398933884e-191,12803.181012222858,16604.040510739003,still,2,5998318.107997304,0.0,357
Mus_caroli,10,-1.4673949473392256,-50.146936553305416,0.0,2231.620732271465,6170.925198310008,motionless_rear,2,5998318.107997304,0.0,357
Mus_caroli,11,2.82677331100555,1027.981604055637,0.0,201830.78507178448,28447.483353021624,start_moving,2,5998318.107997304,0.0,357
Mus_caroli,12,0.32618914245042213,16.71492640557627,1.2094324437706821e-62,5442.140006274528,4340.872143297063,syllable_12,2,5998318.107997304,0.0,357
Mus_caroli,13,0.7058982963740599,86.24786230818698,0.0,30458.9070122361,18673.15722673939,take_a_step,2,5998318.107997304,0.0,357
Mus_caroli,14,-0.5694515619489402,-74.92399077071455,0.0,35566.90338652152,52779.83843215215,curve_spine,2,5998318.107997304,0.0,357
Mus_caroli,15,0.5164806453335369,31.159270370001522,5.2324915691523216e-213,7495.181317865938,5239.694630321077,syllable_15,2,5998318.107997304,0.0,357
Mus_caroli,16,-1.9024557472372865,-56.18465178012733,0.0,1573.6540126930506,5883.090088499653,brief_walk,2,5998318.107997304,0.0,357
Mus_caroli,17,-2.11799185648946,-65.02776041148982,0.0,1644.5668967451334,7138.888904839904,slow_locomotion,2,5998318.107997304,0.0,357
Mus_caroli,18,1.2636391893361105,145.81963716963077,0.0,26010.287316018595,10833.07749381966,leave_rear_turn_right_2,2,5998318.107997304,0.0,357
Mus_caroli,19,0.18603089193377617,14.832102397116326,1.0526610627631576e-49,13212.42982493883,11613.999822637103,high_rear,2,5998318.107997304,0.0,357
Mus_caroli,20,1.1788187119866145,79.2297712862635,0.0,8896.148529775162,3929.544700998615,enter_wall_rear,2,5998318.107997304,0.0,357
Mus_caroli,21,1.4420746091090915,162.3623455909519,0.0,24292.966618591752,8940.727121914744,leave_rear_turn_left_2,2,5998318.107997304,0.0,357
Mus_caroli,22,0.9124636173011393,87.94275145539154,0.0,18702.03221790393,9935.961088942558,stopping,2,5998318.107997304,0.0,357
Mus_caroli,23,-1.581370280390686,-139.2159710010222,0.0,14608.450051914197,43716.363518845144,scrunch_idle,2,5998318.107997304,0.0,357
Mus_caroli,24,1.448288398042438,103.11945166275729,0.0,9708.436058581898,3557.713931644496,end_and_enter_rear,2,5998318.107997304,0.0,357
Mus_caroli,25,-0.6145722987427317,-21.01947569799592,5.486337593811259e-98,2398.2214271097755,3671.9264650893583,syllable_25,2,5998318.107997304,0.0,357
Mus_caroli,26,-3.9832858510079645,-208.2943949570051,0.0,3126.073008471799,49441.04471804753,still_2,2,5998318.107997304,0.0,357
Mus_caroli,27,2.756376583083473,480.5791950734399,0.0,47086.23170146255,6968.541720685228,stop_rear_start_walking,2,5998318.107997304,0.0,357
Mus_caroli,28,0.3786652793220446,41.45357718284384,0.0,24801.06430796904,19075.709984435132,mid_rear_2,2,5998318.107997304,0.0,357
Mus_caroli,29,1.039961878941579,87.37209392057053,0.0,14071.319417286611,6843.4500494625245,mid_rear_3,2,5998318.107997304,0.0,357
Mus_caroli,30,0.06866199673424274,3.0027175957767893,0.0027349762321867365,3979.818107140916,3794.843786719575,syllable_30,2,5998318.107997304,0.0,357
Mus_caroli,31,-1.9020677847113185,-121.45278114821613,0.0,7356.832916268891,27496.05258615879,groom_1,2,5998318.107997304,0.0,357
Mus_caroli,32,-0.7266385041302762,-48.04259903849942,0.0,8908.479102800315,14741.5636290568,slow_locomotion_2,2,5998318.107997304,0.0,357
Mus_caroli,33,0.14579531198175932,5.872008517576195,4.569066146165578e-09,3373.3836540996867,3049.13725339128,jump_1,2,5998318.107997304,0.0,357
Mus_caroli,34,-1.2292078529801556,-52.594421229286276,0.0,3588.0808502787386,8411.833252597442,very_slow_locomotion,2,5998318.107997304,0.0,357
Mus_caroli,35,-4.979081158541356,-221.7804639091973,0.0,1663.3348679615835,52460.50551229551,groom_2,2,5998318.107997304,0.0,357
Mus_caroli,36,-3.9134651731270016,-164.80633769093288,0.0,2067.8632451225317,31159.62469186936,groom_3,2,5998318.107997304,0.0,357
Mus_caroli,37,-3.486041383387016,-155.1317946630568,0.0,2589.3934596832883,29013.563253483077,groom_4,2,5998318.107997304,0.0,357
Mus_caroli,38,0.34035835339036447,15.26125062541595,1.614672607868605e-52,4165.269634083196,3289.9177963917514,brief_fast,2,5998318.107997304,0.0,357
Mus_caroli,39,0.7711939712449981,58.266818341460336,0.0,11602.391161734637,6798.21640686033,paused_in_rear,2,5998318.107997304,0.0,357
Mus_caroli,40,-2.6010539419370864,-115.0803320587718,0.0,3129.2823103684573,18986.285272999783,groom_5,2,5998318.107997304,0.0,357
Mus_caroli,41,0.8030734021244849,52.96361518623295,0.0,8822.842975201527,5056.608928521248,jump_2,2,5998318.107997304,0.0,357
Mus_caroli,42,-2.8913993474468196,-132.66573654864206,0.0,3168.5402401041665,23510.245275311157,groom_6,2,5998318.107997304,0.0,357
Mus_caroli,43,-0.10867069569060135,-4.873474707371292,1.1403840454497764e-06,4184.044389069563,4511.380130241743,syllable_43,2,5998318.107997304,0.0,357
Mus_caroli,44,-1.660096699897271,-71.49373417626147,0.0,3461.112739847082,10938.421345838942,groom_7,2,5998318.107997304,0.0,357
Mus_caroli,45,-3.016557338854197,-48.248578770115245,0.0,374.51043414689906,3030.666612817219,idle_enter_groom,2,5998318.107997304,0.0,357
Mus_caroli,46,-3.5171616879348124,-91.4698239979064,0.0,877.3431309481042,10044.78505463105,syllable_46,2,5998318.107997304,0.0,357
Mus_caroli,47,-3.2647826419608905,-84.00236586887938,0.0,914.552810552462,8790.352546796612,groom_10,2,5998318.107997304,0.0,357
Mus_caroli,48,-3.4195730606027714,-83.97715509724436,0.0,801.9554040641733,8581.126058261425,groom_11,2,5998318.107997304,0.0,357
Mus_caroli,49,-3.020833640922346,-29.122794674652454,2.487052583017766e-186,135.92873535541045,1103.2471499346118,syllable_49,2,5998318.107997304,0.0,357
Mus_caroli,50,-36.46359800083103,-9.73460589979766,2.362264758595138e-22,0.0,94.76255202537543,syllable_50,2,5998318.107997304,0.0,357
Mus_caroli,61,-41.77345592444135,-61.31004401371469,0.0,0.0,3758.9214969646323,syllable_61,2,5998318.107997304,0.0,357
Mus_musculus,0,0.29558124604469277,66.71471272950537,0.0,105662.26683294289,86087.69949460012,head_low,2,5998318.107997304,0.0,357
Mus_musculus,1,0.4330692105648875,106.81518971943673,0.0,125672.94874978496,93083.98827092047,head_down,2,5998318.107997304,0.0,357
Mus_musculus,2,-0.03603132308145597,-7.060072661033001,1.7981525662601436e-12,79906.926324254,81927.73239574602,sniff_floor,2,5998318.107997304,0.0,357
Mus_musculus,3,0.5767519178978563,127.28000227014915,0.0,100026.47522472063,67064.90872909766,step_to_stop,2,5998318.107997304,0.0,357
Mus_musculus,4,0.4858439330549757,97.64989882900325,0.0,83291.09996278297,59476.44476655655,turn_left,2,5998318.107997304,0.0,357
Mus_musculus,5,0.38507978059417763,60.77186447262161,0.0,51531.86572310377,39459.83834938744,enter_rear,2,5998318.107997304,0.0,357
Mus_musculus,6,0.40203939896722607,72.26493977592811,0.0,66812.60501970451,50562.95961290302,turn_right,2,5998318.107997304,0.0,357
Mus_musculus,7,0.44586409824647283,63.921914787057936,0.0,42441.39897662774,31158.118404794586,extend_rear,2,5998318.107997304,0.0,357
Mus_musculus,8,0.16502721349390118,18.288809933501597,1.2359483614079009e-74,25534.969306120027,22774.93775993136,extend_rear_2,2,5998318.107997304,0.0,357
Mus_musculus,9,0.5472064860061109,114.28073489882959,0.0,89699.96116997817,61385.62598194401,still,2,5998318.107997304,0.0,357
