cluster,x,y,embedding_method
470,5.7688217,8.448404,UMAP
471,5.273041,4.3169436,UMAP
472,4.456529,8.170857,UMAP
473,5.5371284,6.614915,UMAP
474,3.16805,5.8217926,UMAP
475,2.4497664,4.9659247,UMAP
476,2.0416532,5.0909758,UMAP
477,3.8403091,2.9985306,UMAP
478,5.522816,7.249953,UMAP
479,2.5940602,3.91133,UMAP
480,5.3730154,3.967133,UMAP
481,4.4546337,8.670886,UMAP
482,5.723148,3.5904293,UMAP
483,2.83904,2.7335372,UMAP
484,5.077381,3.8604813,UMAP
485,2.762752,7.939526,UMAP
486,4.1747584,8.980078,UMAP
487,4.733091,3.2763834,UMAP
488,1.6585925,5.939614,UMAP
489,2.6129766,3.7785628,UMAP
490,4.1848803,9.047875,UMAP
491,5.806826,5.027554,UMAP
492,2.6453152,6.894184,UMAP
493,5.8926764,5.7899003,UMAP
494,-0.22451416,6.337251,UMAP
495,0.13610978,5.406644,UMAP
496,5.1789136,7.1595697,UMAP
497,2.8298867,5.34529,UMAP
498,1.7706182,5.6495132,UMAP
499,1.8447821,4.9202247,UMAP
500,3.9864602,4.125422,UMAP
501,2.0102618,3.9523427,UMAP
502,0.9424094,6.4051027,UMAP
503,1.2861108,6.080558,UMAP
504,5.452788,8.162063,UMAP
505,-0.05965063,6.2960663,UMAP
506,4.2929077,8.653894,UMAP
507,-0.43815053,5.822683,UMAP
508,5.5297966,8.730279,UMAP
509,5.9318757,5.623321,UMAP
510,4.7627015,7.220095,UMAP
511,3.7500162,6.577505,UMAP
512,0.28482956,5.109048,UMAP
513,6.132681,8.7654705,UMAP
514,2.864721,3.3733864,UMAP
515,3.560003,7.353567,UMAP
516,4.9977374,8.215659,UMAP
517,6.011175,8.707079,UMAP
518,0.04120184,6.0715623,UMAP
519,4.261429,2.7813103,UMAP
520,1.2708349,6.62223,UMAP
521,3.4469225,3.1894696,UMAP
522,5.955454,4.281773,UMAP
523,6.279125,7.147428,UMAP
524,5.3199844,8.305947,UMAP
525,3.4318576,5.805259,UMAP
526,6.221683,7.185501,UMAP
527,1.7558024,6.381273,UMAP
