species,ranking,support_cutoff,n_retained_clusters,nn_absorption_sigma,nn_absorption_n_neighbors,status,n_macro_clusters,n_absorbed_clusters,supported_occupancy_fraction,transition_entropy_bits,transition_entropy_weighting,mean_transition_entropy_bits,entropy_delta_from_full_n_bits,entropy_delta_from_previous_n_bits,pi_effective_clusters,max_leading_eigen_delta_from_full_n,max_leading_eigen_delta_from_previous_n,lambda_2_abs,lambda_2_real,lambda_2_imag,lambda_3_abs,lambda_3_real,lambda_3_imag,lambda_4_abs,lambda_4_real,lambda_4_imag,lambda_5_abs,lambda_5_real,lambda_5_imag,lambda_6_abs,lambda_6_real,lambda_6_imag
Mus_caroli,occupancy_descending,475,475,2.0,3,ok,475,525,0.7342390766616039,7.788532323823965,empirical_macro_occupancy,7.831170018260529,-0.1494077584676896,-0.04411263522380793,421.1530140787487,0.2048579948143608,0.006925435203100239,0.70194500910786,0.70194500910786,0.0,0.6160503034184643,0.6160503034184643,0.0,0.4477257245056808,0.4477257245056808,0.0,0.3353107863540275,0.3353107863540275,0.0,0.29557682357259984,0.29557682357259984,0.0
Mus_caroli,occupancy_descending,450,450,2.0,3,ok,450,550,0.7100865193709573,7.748564390041345,empirical_macro_occupancy,7.8063264191088315,-0.1893756922503096,-0.03996793378261998,395.84541538867194,0.21145173193758376,0.006593737123222976,0.6980252867340909,0.6980252867340909,0.0,0.611357690265408,0.611357690265408,0.0,0.44397541866093443,0.44397541866093443,0.0,0.3287170492308045,0.3287170492308045,0.0,0.2933941299281955,0.2933941299281955,0.0
Mus_caroli,occupancy_descending,425,425,2.0,3,ok,425,575,0.6848488228462559,7.704109762301156,empirical_macro_occupancy,7.770185219216881,-0.2338303199904983,-0.04445462774018871,373.53617269648964,0.2156725791126609,0.010070980692927112,0.6941766238094164,0.6941766238094164,0.0,0.6024848153253789,0.6024848153253789,0.0,0.4339044379680073,0.4339044379680073,0.0,0.3244962020557274,0.3244962020557274,0.0,0.28641605199277215,0.28641605199277215,0.0
Mus_caroli,occupancy_descending,400,400,2.0,3,ok,400,600,0.658340913732669,7.644620182206462,empirical_macro_occupancy,7.717729077218815,-0.2933199000851925,-0.05948958009469418,343.6798475588441,0.22308354240168382,0.014222918030369458,0.6920572499841569,0.6920572499841569,0.0,0.6000546384048873,0.6000546384048873,0.0,0.41968151993763786,0.41968151993763786,0.0,0.31708523876670447,0.31708523876670447,0.0,0.2789280747300143,0.2789280747300143,0.0
Mus_caroli,occupancy_descending,375,375,2.0,3,ok,375,625,0.6307714436658348,7.587910736525373,empirical_macro_occupancy,7.673920052075521,-0.35002934576628153,-0.056709445681089043,319.7761621113605,0.2294865682118855,0.021842546929534135,0.6824504438825952,0.6824504438825952,0.0,0.5782120914753531,0.5782120914753531,0.0,0.41031299270628613,0.41031299270628613,0.0,0.3106822129565028,0.3106822129565028,0.0,0.2669221576858072,0.2669221576858072,0.0
Mus_caroli,occupancy_descending,350,350,2.0,3,ok,350,650,0.6021336298526444,7.520659694009849,empirical_macro_occupancy,7.617801986439828,-0.4172803882818057,-0.06725104251552416,294.57562762694766,0.23788731854403433,0.011305366117022986,0.676601594200516,0.676601594200516,0.0,0.5734704549611533,0.5734704549611533,0.0,0.39900762658926314,0.39900762658926314,0.0,0.30228146262435396,0.30228146262435396,0.0,0.2612943672535191,0.2612943672535191,0.0
Mus_caroli,occupancy_descending,325,325,2.0,3,ok,325,675,0.5722925700745968,7.442584932001009,empirical_macro_occupancy,7.553426516266318,-0.4953551502906457,-0.07807476200884,269.99499260848995,0.243976200795762,0.010558737289807163,0.6720251722736543,0.6720251722736543,0.0,0.5672505385500043,0.5672505385500043,0.0,0.388448889299456,0.388448889299456,0.0,0.2961925803726263,0.2961925803726263,0.0,0.25357548530335144,0.25357548530335144,0.0
Mus_caroli,occupancy_descending,300,300,2.0,3,ok,300,700,0.5406607452523947,7.334006424260153,empirical_macro_occupancy,7.463348864411793,-0.6039336580315018,-0.10857850774085609,239.1842692759648,0.25396318212822633,0.00998698133246434,0.6660248457234255,0.6660248457234255,0.0,0.5660756214034344,0.5660756214034344,0.0,0.37943497704696433,0.37943497704696433,0.0,0.28620559904016196,0.28620559904016196,0.0,0.24219148630896853,0.24219148630896853,0.0
Mus_caroli,occupancy_descending,275,275,2.0,3,ok,275,725,0.507750633087606,7.233530683985999,empirical_macro_occupancy,7.37400414273632,-0.7044093983056552,-0.1004757402741534,215.14126415426585,0.26131454620506966,0.02937190590629024,0.6564602887812274,0.6564602887812274,0.0,0.5367037154971441,0.5367037154971441,0.0,0.369607866947926,0.369607866947926,0.0,0.2788542349633186,0.2788542349633186,0.0,0.21063977410292495,0.21063977410292495,0.0
Mus_caroli,occupancy_descending,250,250,2.0,3,ok,250,750,0.4736459956919574,7.120985106029755,empirical_macro_occupancy,7.277074670922372,-0.8169549762618997,-0.11254557795624454,190.85664885300636,0.270963942455888,0.015531116241361387,0.6492791224055727,0.6492791224055727,0.0,0.5322426929183993,0.5322426929183993,0.0,0.35407675070656464,0.35407675070656464,0.0,0.2692048387125003,0.2692048387125003,0.0,0.20597806123228052,0.20597806123228052,0.0
