species,aligned_arm,moseq_cluster,soft_frames
Mus_spretus,1,51,0.8654872185135075
Mus_spretus,1,56,15.888745293037601
Mus_spretus,1,61,81309.50286929506
Mus_spretus,1,74,0.31555445566418794
Mus_spretus,2,0,15697.593955750675
Mus_spretus,2,1,20981.561669497212
Mus_spretus,2,2,17843.03053108698
Mus_spretus,2,3,24432.42641029073
Mus_spretus,2,4,16222.832491177476
Mus_spretus,2,5,6288.647608177816
Mus_spretus,2,6,15345.700623865767
Mus_spretus,2,7,4628.626071469063
Mus_spretus,2,8,2104.7042328704265
Mus_spretus,2,9,28871.001945037966
Mus_spretus,2,10,4444.6764029171445
Mus_spretus,2,11,15204.703444385803
Mus_spretus,2,12,1804.0139792193106
Mus_spretus,2,13,13600.491994777844
Mus_spretus,2,14,120805.15037272473
Mus_spretus,2,15,2581.729026895826
Mus_spretus,2,16,293.8724845459498
Mus_spretus,2,17,4618.804131011201
Mus_spretus,2,18,11898.625783323245
Mus_spretus,2,19,9663.932652856469
Mus_spretus,2,20,211.69693876247385
Mus_spretus,2,21,9184.866350826103
Mus_spretus,2,22,3462.269989970383
Mus_spretus,2,23,144764.66597941614
Mus_spretus,2,24,143.5906930393437
Mus_spretus,2,25,1529.2994413263368
Mus_spretus,2,26,34810.57257914346
Mus_spretus,2,27,457.9606756073372
Mus_spretus,2,28,12081.35149792946
Mus_spretus,2,29,913.0675641298104
Mus_spretus,2,30,1689.2196520236962
Mus_spretus,2,31,59855.44986503235
Mus_spretus,2,32,6545.795057254931
Mus_spretus,2,33,71.17513790864207
Mus_spretus,2,34,8317.322886877459
Mus_spretus,2,35,62693.006304933544
Mus_spretus,2,36,58474.955228447485
Mus_spretus,2,37,35616.707176462965
Mus_spretus,2,38,126.70866167881543
Mus_spretus,2,39,17997.533337252393
Mus_spretus,2,40,14891.207683683331
Mus_spretus,2,41,1357.36803580502
Mus_spretus,2,42,24062.19919867713
Mus_spretus,2,43,1435.1961678475388
Mus_spretus,2,44,8753.733642800184
Mus_spretus,2,45,1489.1245876982532
Mus_spretus,2,46,3009.57078408183
Mus_spretus,2,47,9622.850098179462
Mus_spretus,2,48,6903.387226616289
Mus_spretus,2,49,1991.2571638916115
Mus_spretus,2,51,0.04732392347840946
Mus_spretus,2,56,10.111254706962395
Mus_spretus,2,61,44855.78651428012
Mus_spretus,2,74,0.008394672497309566
Peromyscus_californicus,1,0,273945.7566802107
Peromyscus_californicus,1,1,184960.0861127166
Peromyscus_californicus,1,2,332366.3689324446
Peromyscus_californicus,1,3,445719.9776032454
Peromyscus_californicus,1,4,54089.22270615429
Peromyscus_californicus,1,5,157420.98236674207
Peromyscus_californicus,1,6,44937.48242446513
Peromyscus_californicus,1,7,382131.29923803377
Peromyscus_californicus,1,8,90806.76291042338
Peromyscus_californicus,1,9,104838.78152863489
Peromyscus_californicus,1,10,288163.2208125308
Peromyscus_californicus,1,11,176134.37908711613
Peromyscus_californicus,1,12,93863.79879415073
Peromyscus_californicus,1,13,161477.49139004236
Peromyscus_californicus,1,14,32528.715307974206
Peromyscus_californicus,1,15,93186.24218140947
Peromyscus_californicus,1,16,1276.309300007786
Peromyscus_californicus,1,17,28123.65237183883
Peromyscus_californicus,1,18,33897.96497988855
Peromyscus_californicus,1,19,42064.10182068116
Peromyscus_californicus,1,20,31533.663537378794
Peromyscus_californicus,1,21,37117.57387321256
Peromyscus_californicus,1,22,80396.55360278909
Peromyscus_californicus,1,23,39298.882761965615
Peromyscus_californicus,1,24,16295.651393115722
Peromyscus_californicus,1,25,45595.53306639092
Peromyscus_californicus,1,26,122760.89158796801
Peromyscus_californicus,1,27,837.3619214683243
Peromyscus_californicus,1,28,13443.028149301268
Peromyscus_californicus,1,29,17733.31199244551
Peromyscus_californicus,1,30,52771.70622316952
Peromyscus_californicus,1,31,8565.24819946437
Peromyscus_californicus,1,32,14532.703341320776
Peromyscus_californicus,1,33,157622.44993145586
Peromyscus_californicus,1,34,476897.42637922533
Peromyscus_californicus,1,35,83471.06204446655
Peromyscus_californicus,1,36,31271.17265314112
Peromyscus_californicus,1,37,45592.252061543215
Peromyscus_californicus,1,38,9220.615531209563
Peromyscus_californicus,1,39,47295.10397118805
Peromyscus_californicus,1,40,5734.264726869924
Peromyscus_californicus,1,41,99933.55836043983
Peromyscus_californicus,1,42,56740.195223583774
Peromyscus_californicus,1,43,32.995432022531425
Peromyscus_californicus,1,44,5265.122385249389
