global_id,species,source_individual_id,component,mean,std,variance,q01,q99
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,81,3.659338835859671e-05,0.0012570611434057355,1.5802025927769137e-06,-0.0029111316334456206,0.0030385165195912127
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,82,-0.0001071068036253564,0.0012960231397300959,1.6796760746728978e-06,-0.003232907969504595,0.0029765977151691918
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,83,2.8090244086342864e-05,0.0012697024503722787,1.6121442740768543e-06,-0.003071735659614205,0.003012796659022573
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,84,-8.723129212739877e-06,0.0012664347887039185,1.6038571857279749e-06,-0.0029507574252784254,0.0031143818702548745
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,85,-0.00018667441327124834,0.0013059532502666116,1.7055140233424027e-06,-0.0032416551001369955,0.002942311353981497
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,86,0.0002355915930820629,0.001300347619690001,1.6909039004531223e-06,-0.0028036520071327686,0.0033592885546386256
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,87,-0.00018180230108555406,0.00131223036441952,1.7219484789166017e-06,-0.0033242324739694595,0.0029588636383414274
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,88,8.745776722207665e-05,0.001274028094485402,1.6231476820394164e-06,-0.0028600709047168493,0.0030862730555236344
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,89,0.00013571983436122537,0.0012120937462896109,1.4691712522107991e-06,-0.0027522398997098206,0.0030400287546217446
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,90,-1.1810461728600785e-05,0.0012773129856213927,1.6315285620294162e-06,-0.003067708471789956,0.0030127236340194968
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,91,-3.570454282453284e-05,0.0011916393414139748,1.4200043096934678e-06,-0.0028532349877059457,0.0028487715963274244
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,92,-0.00015426831669174135,0.001287773484364152,1.6583604747211211e-06,-0.00324181922711432,0.0029084738530218606
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,93,-5.6080731155816466e-05,0.0011808291310444474,1.3943573549113353e-06,-0.002806742638349533,0.002832932807505134
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,94,1.685899951553438e-05,0.0011848828289657831,1.4039474081073422e-06,-0.002885846421122551,0.0028250978607684387
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,95,-2.4672888685017824e-05,0.0012111193500459194,1.4668102039649966e-06,-0.0030667885765433313,0.003046613028272987
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,96,-1.2670452633756213e-05,0.0011594853131100535,1.3444062005874002e-06,-0.0028127712104469536,0.002726124115288266
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,97,-0.00015899084974080324,0.001166192116215825,1.360004034722806e-06,-0.0028500443696975707,0.002650900036096578
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,98,0.00022190510935615748,0.0011454712366685271,1.3121043593855575e-06,-0.002482776464894414,0.002960458202287556
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,99,-0.00016541978402528912,0.0011421502567827702,1.3045072364548105e-06,-0.002794853383675218,0.0026071275770664292
Mus_musculus__subject__40267.0,Mus_musculus,40267.0,100,-8.334370795637369e-05,0.0011481443652883172,1.318235604230722e-06,-0.0028134385123848916,0.00263449571095408
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,1,0.014635534025728703,0.03146275877952576,0.0009899050928652287,-0.036838605403900146,0.09065265357494363
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,2,-0.001670623430982232,0.017161326482892036,0.00029451114824041724,-0.037374068051576614,0.03313312709331513
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,3,-0.0031012091785669327,0.017942722886800766,0.0003219412756152451,-0.04747115984559059,0.038340281546115886
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,4,0.006537871900945902,0.01243561040610075,0.00015464439638890326,-0.01763635516166687,0.03654591858386995
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,5,0.002464090008288622,0.012406093068420887,0.0001539111544843763,-0.030162695944309235,0.03041981615126134
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,6,0.0006310836179181933,0.010202949866652489,0.00010410018876427785,-0.02136344403028488,0.02712430983781819
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,7,-0.002972312504425645,0.009299308992922306,8.647714275866747e-05,-0.026632883548736573,0.017669666931033137
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,8,-0.0020933079067617655,0.008075117133557796,6.52075104881078e-05,-0.019853349924087525,0.0175270135700703
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,9,-0.001359596848487854,0.008553699590265751,7.316577830351889e-05,-0.022355703935027123,0.017083531320095064
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,10,-0.001631291932426393,0.007515001576393843,5.6475251767551526e-05,-0.01962816797196865,0.016523266807198546
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,11,-0.0022757069673389196,0.00789042841643095,6.225886318134144e-05,-0.02111885406076908,0.015642487481236474
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,12,0.001615330926142633,0.006433200556784868,4.138606891501695e-05,-0.012822469472885132,0.01749687239527703
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,13,0.0007151090539991856,0.006195578258484602,3.838519114651717e-05,-0.013399535939097405,0.015598131492733982
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,14,-0.000767034012824297,0.005533660762012005,3.062140240217559e-05,-0.01319650124758482,0.012408505082130443
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,15,-7.458164327545092e-05,0.005064420402050018,2.5648354494478554e-05,-0.012407636307179927,0.011370138227939634
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,16,0.00027300947112962604,0.004826193209737539,2.3292141122510657e-05,-0.011282399445772171,0.011518479138612748
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,17,-0.0011047793086618185,0.004558797460049391,2.0782632418558933e-05,-0.011459837704896926,0.010081969536840917
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,18,-0.001058152411133051,0.004310382530093193,1.8579397874418646e-05,-0.011529423259198666,0.009078677855432036
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,19,0.0004142498364672065,0.0047631156630814075,2.268727075716015e-05,-0.010591984204947948,0.012091528028249744
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,20,0.0008080664556473494,0.004595259670168161,2.1116409698151983e-05,-0.009824383594095707,0.012210470698773877
Mus_musculus__subject__40268.0,Mus_musculus,40268.0,21,0.0006753941997885704,0.004180342424660921,1.7475264030508697e-05,-0.009412125125527382,0.010417293831706054
